sample	observed_species	chao1	shannon	simpson	goods_coverage	group
A1	325.0	357.2173913043478	5.837511512576115	0.9570935323009726	0.9986560992419021	A
A2	320.0	335.0	5.753750651335057	0.955663984443123	0.9989671911040727	A
A3	340.0	360.5833333333333	5.8059988636762	0.9561290596271111	0.9986550796606662	A
A4	415.0	450.35714285714283	6.132213483647754	0.9714944597895523	0.998083356565375	A
A5	402.0	431.4	6.115401331880382	0.968490024423503	0.9982974879260623	A
A6	397.0	421.89473684210526	6.113611027781758	0.9700179875401326	0.9984653482613093	A
A7	233.0	260.3529411764706	5.238119428362447	0.9480490425774153	0.9989131959052027	A
A8	385.0	431.6666666666667	6.075624308732652	0.9639702574435517	0.9980393529864855	A
A9	386.0	412.72727272727275	6.120420016497291	0.9633453697070181	0.9982896436175783	A
C1	407.0	450.5	6.321698873284376	0.9705362211848961	0.9979751431364334	C
C2	387.0	416.8780487804878	6.25028630117851	0.96904594601203	0.9982517482517482	C
C3	397.0	438.4375	6.246919528178569	0.967729429836221	0.9981848645629713	C
C4	322.0	355.1081081081081	5.630567369000915	0.9584460685604643	0.9982725859388495	C
C5	217.0	234.65217391304347	4.362473018976298	0.8479752659023327	0.9989989298905727	C
C6	361.0	387.55882352941177	6.064388268878376	0.9676146078161061	0.9984950827704476	C
C7	457.0	500.82608695652175	6.7004494623072866	0.9802771934334038	0.9977477477477478	C
C8	345.0	391.16129032258067	6.1974056225321625	0.9741142851879989	0.9980958425896541	C
C9	286.0	325.6666666666667	6.010174691237081	0.9714742171901761	0.9987863656853566	C
